perfil_id,cargo_atual,data_admissao,departamento,tempo_empresa_meses_trojan,tempo_mercado_meses,qtd_empregos
64,Analista Financeiro,2015-03-01,Financeiro,30.0,77.0,5
65,People Consultant,2017-01-01,Recursos Humanos,42.0,55.0,3
66,Business Development Manager,2016-11-01,Comercial,14.0,69.0,5
67,Customer Success,2014-10-01,Comercial,35.0,35.0,1
68,Head of Trojan Technologies In-Store,2015-11-01,Administrativo,22.0,64.0,5
69,Trade Marketing,2016-07-01,Comercial,14.0,92.0,5
70,Sales Operations Analyst,2017-07-01,Comercial,14.0,14.0,3
71,Estagiária de marketing,2016-11-01,Comercial,10.0,54.0,5
72,Coordenador de marketing,2015-08-01,Comercial,25.0,80.0,5
73,Android Developer,2016-10-01,Desenvolvedor / Programador,11.0,12.0,2
74,Commercial,2017-03-01,Comercial,6.0,84.0,5
75,Gerente de operações,2017-02-01,Administrativo,7.0,129.0,5
76,Trade Marketing,2016-10-01,Comercial,11.0,27.0,2
77,Key Account Manager,2016-03-01,Comercial,18.0,73.0,4
78,Head of Product Design - UXP,2016-10-01,Administrativo,11.0,168.0,5
79,Lead Software Developer,2017-02-01,Desenvolvedor / Programador,7.0,155.0,5
80,Software Test Developer II,2016-10-01,Desenvolvedor / Programador,11.0,51.0,5
81,Finance Director,2016-10-01,Financeiro,11.0,62.0,5
82,Desenvolvedor Jr,2017-07-01,Desenvolvedor / Programador,2.0,46.0,5
83,Desenvolvedor Junior,2017-02-01,Desenvolvedor / Programador,7.0,16.0,3
84,Desenvolvedor Pleno I,2016-10-01,Desenvolvedor / Programador,11.0,53.0,3
85,iOS Developer,2017-04-01,Desenvolvedor / Programador,5.0,60.0,4
86,Software Developer,2016-10-01,Desenvolvedor / Programador,11.0,79.0,5
87,Desenvolvedora de Software,2016-10-01,Desenvolvedor / Programador,11.0,11.0,1
88,Software Developer,2016-10-01,Desenvolvedor / Programador,11.0,21.0,3
89,Time de Expansão Local,2017-03-01,Recursos Humanos,6.0,25.0,3
90,Data Engineer BI and Data Analyst,2016-03-01,Engenharia,18.0,79.0,5
91,Especialista em Marketing de Performance,2017-06-01,Comercial,3.0,40.0,5
92,Analista de Atendimento,2014-08-01,Comercial,54.0,54.0,3
93,Executivo de vendas,2017-03-01,Administrativo,6.0,203.0,4
94,Head Of Sales,2017-04-01,Comercial,5.0,126.0,5
95,Head Of Strategy,2017-08-01,Administrativo,1.0,46.0,5
96,Business Developer + Product Manager,2017-06-01,Administrativo,3.0,156.0,5
97,Executivo Comercial Senior,2017-03-01,Administrativo,6.0,143.0,5
98,Inside Sales,2017-05-01,Comercial,4.0,42.0,5
99,Gerente Regional Rio de Janeiro,2017-01-01,Administrativo,8.0,260.0,5
100,Coordenador Comercial,2017-03-01,Comercial,6.0,131.0,5
101,Gerente comercial Sao Paulo,2017-02-01,Administrativo,7.0,113.0,5
102,Executiva de Contas,2017-02-01,Administrativo,7.0,108.0,4
103,Gerente Comercial e Operações Regional Centro-Oeste,2017-01-01,Administrativo,8.0,151.0,5
104,Sales Executive,2017-03-01,Administrativo,6.0,84.0,5
105,Software Architect,2017-07-01,TI,2.0,94.0,5
106,Executivo de vendas,2017-03-01,Administrativo,6.0,84.0,5
107,Analista de marketing,2017-06-01,Comercial,5.0,25.0,5
109,Gerente Regional Sul,2017-03-01,Administrativo,6.0,51.0,5
110,Software Developer,2017-02-01,Desenvolvedor / Programador,7.0,7.0,1
